document_number,fiscal_year,fiscal_period,company_code,company_name,profit_center,profit_center_description,customer_id,product_id,revenue,cost,currency,source_updated_at
DOC0000001001,2025,5,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000393,MAT00065,42906.27,30439.26,ARS,2025-01-01T16:41:00Z
DOC0000001002,2025,6,AR01,Compañía Modelo Argentina,PC300,Exportación,C000014,MAT00046,36813.98,28785.69,ARS,2025-01-02T16:42:00Z
DOC0000001003,2025,7,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000185,MAT00034,26859.02,22879.88,UYU,2025-01-03T16:43:00Z
DOC0000001004,2025,8,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000351,MAT00109,5052.93,4315.26,UYU,2025-01-04T16:44:00Z
DOC0000001005,2025,9,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000430,MAT00020,18745.30,13289.18,UYU,2025-01-05T16:45:00Z
DOC0000001006,2025,10,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000442,MAT00024,41785.78,27751.07,UYU,2025-01-06T16:46:00Z
DOC0000001007,2025,11,AR01,Compañía Modelo Argentina,PC300,Exportación,C000035,MAT00005,9892.04,8398.65,ARS,2025-01-07T16:47:00Z
DOC0000001008,2025,12,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000423,MAT00016,48376.80,38099.46,UYU,2025-01-08T16:48:00Z
DOC0000001009,2025,1,AR01,Compañía Modelo Argentina,PC300,Exportación,C000019,MAT00092,67289.58,39225.72,ARS,2025-01-09T16:49:00Z
DOC0000001010,2025,2,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000346,MAT00074,19966.41,13375.94,UYU,2025-01-10T16:50:00Z
DOC0000001011,2025,3,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000420,MAT00011,32368.30,25379.95,UYU,2025-01-11T16:51:00Z
DOC0000001012,2025,4,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000309,MAT00025,17349.85,13398.66,ARS,2025-01-12T16:52:00Z
DOC0000001013,2025,5,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000137,MAT00072,74094.71,64438.84,UYU,2025-01-13T16:53:00Z
DOC0000001014,2025,6,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000111,MAT00099,56579.24,44426.62,UYU,2025-01-14T16:54:00Z
DOC0000001015,2025,7,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000207,MAT00008,5008.43,4358.25,UYU,2025-01-15T16:55:00Z
DOC0000001016,2025,8,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000320,MAT00115,63245.28,50086.07,UYU,2025-01-16T16:56:00Z
DOC0000001017,2025,9,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000440,MAT00082,27272.46,19932.55,UYU,2025-01-17T16:57:00Z
DOC0000001018,2025,10,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000047,MAT00092,6811.22,4478.50,ARS,2025-01-18T16:58:00Z
DOC0000001019,2025,11,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000128,MAT00077,57405.87,46445.45,UYU,2025-01-19T16:59:00Z
DOC0000001020,2025,12,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000034,MAT00063,29597.17,20096.94,UYU,2025-01-20T17:00:00Z
DOC0000001021,2025,1,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000259,MAT00091,8429.24,7288.18,ARS,2025-01-21T17:01:00Z
DOC0000001022,2025,2,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000405,MAT00022,12811.65,9965.73,UYU,2025-01-22T17:02:00Z
DOC0000001023,2025,3,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000156,MAT00105,11820.32,9719.98,ARS,2025-01-23T17:03:00Z
DOC0000001024,2025,4,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000013,MAT00024,67280.57,50373.91,UYU,2025-01-24T17:04:00Z
DOC0000001025,2025,5,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000037,MAT00030,36922.22,30075.23,UYU,2025-01-25T17:05:00Z
DOC0000001026,2025,6,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000414,MAT00085,40650.58,31573.71,UYU,2025-01-26T17:06:00Z
DOC0000001027,2025,7,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000160,MAT00048,39718.97,27311.84,ARS,2025-01-27T17:07:00Z
DOC0000001028,2025,8,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000338,MAT00118,63972.06,46211.55,UYU,2025-01-28T17:08:00Z
DOC0000001029,2025,9,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000152,MAT00051,28538.54,22537.61,UYU,2025-01-29T17:09:00Z
DOC0000001030,2025,10,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000252,MAT00098,30227.48,24053.57,ARS,2025-01-30T17:10:00Z
DOC0000001031,2025,11,AR01,Compañía Modelo Argentina,PC300,Exportación,C000155,MAT00030,60887.78,39847.46,ARS,2025-01-31T17:11:00Z
DOC0000001032,2025,12,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000133,MAT00024,19318.08,16578.74,UYU,2025-02-01T17:12:00Z
DOC0000001033,2025,1,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000449,MAT00070,65493.14,41412.84,ARS,2025-02-02T17:13:00Z
DOC0000001034,2025,2,AR01,Compañía Modelo Argentina,PC300,Exportación,C000350,MAT00117,11458.09,7328.61,ARS,2025-02-03T17:14:00Z
DOC0000001035,2025,3,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000053,MAT00009,49057.03,28552.19,UYU,2025-02-04T17:15:00Z
DOC0000001036,2025,4,AR01,Compañía Modelo Argentina,PC300,Exportación,C000053,MAT00096,35708.76,30009.66,ARS,2025-02-05T17:16:00Z
DOC0000001037,2025,5,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000016,MAT00070,67590.74,48774.13,UYU,2025-02-06T17:17:00Z
DOC0000001038,2025,6,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000386,MAT00102,36290.25,22819.36,UYU,2025-02-07T17:18:00Z
DOC0000001039,2025,7,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000406,MAT00021,49637.44,39427.52,UYU,2025-02-08T17:19:00Z
DOC0000001040,2025,8,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000208,MAT00039,65414.70,53656.36,ARS,2025-02-09T17:20:00Z
DOC0000001041,2025,9,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000409,MAT00042,57699.73,36472.24,ARS,2025-02-10T17:21:00Z
DOC0000001042,2025,10,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000104,MAT00059,66422.06,56086.68,ARS,2025-02-11T17:22:00Z
