document_number,fiscal_year,fiscal_period,company_code,company_name,profit_center,profit_center_description,customer_id,product_id,revenue,cost,currency,source_updated_at
DOC0000000001,2025,1,AR01,Compañía Modelo Argentina,PC300,Exportación,C000424,MAT00068,21763.26,15286.96,ARS,2025-01-01T00:01:00Z
DOC0000000002,2025,2,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000157,MAT00006,2020.99,1679.73,ARS,2025-01-02T00:02:00Z
DOC0000000003,2025,3,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000323,MAT00001,41215.74,31769.45,UYU,2025-01-03T00:03:00Z
DOC0000000004,2025,4,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000100,MAT00119,16213.77,11914.59,ARS,2025-01-04T00:04:00Z
DOC0000000005,2025,5,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000462,MAT00062,35481.71,21272.38,UYU,2025-01-05T00:05:00Z
DOC0000000006,2025,6,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000127,MAT00044,9277.26,6209.37,ARS,2025-01-06T00:06:00Z
DOC0000000007,2025,7,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000227,MAT00095,71996.70,52250.99,ARS,2025-01-07T00:07:00Z
DOC0000000008,2025,8,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000376,MAT00003,5776.51,5065.96,UYU,2025-01-08T00:08:00Z
DOC0000000009,2025,9,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000448,MAT00030,46831.08,33398.96,ARS,2025-01-09T00:09:00Z
DOC0000000010,2025,10,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000248,MAT00115,39188.00,32280.39,ARS,2025-01-10T00:10:00Z
DOC0000000011,2025,11,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000284,MAT00112,17511.14,10398.01,ARS,2025-01-11T00:11:00Z
DOC0000000012,2025,12,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000340,MAT00052,45160.52,39472.27,UYU,2025-01-12T00:12:00Z
DOC0000000013,2025,1,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000168,MAT00074,4860.53,3170.81,ARS,2025-01-13T00:13:00Z
DOC0000000014,2025,2,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000332,MAT00082,31339.90,23209.99,UYU,2025-01-14T00:14:00Z
DOC0000000015,2025,3,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000330,MAT00093,21195.74,16189.58,ARS,2025-01-15T00:15:00Z
DOC0000000016,2025,4,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000271,MAT00059,56969.17,39907.06,UYU,2025-01-16T00:16:00Z
DOC0000000017,2025,5,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000336,MAT00105,57931.53,49567.89,ARS,2025-01-17T00:17:00Z
DOC0000000018,2025,6,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000178,MAT00021,57198.39,43048.75,UYU,2025-01-18T00:18:00Z
DOC0000000019,2025,7,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000036,MAT00027,61342.72,37365.36,UYU,2025-01-19T00:19:00Z
DOC0000000020,2025,8,AR01,Compañía Modelo Argentina,PC300,Exportación,C000472,MAT00009,8650.63,6781.40,ARS,2025-01-20T00:20:00Z
DOC0000000021,2025,9,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000190,MAT00107,41025.54,34107.48,ARS,2025-01-21T00:21:00Z
DOC0000000022,2025,10,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000272,MAT00051,47987.96,30633.32,ARS,2025-01-22T00:22:00Z
DOC0000000023,2025,11,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000434,MAT00036,4674.67,3566.92,ARS,2025-01-23T00:23:00Z
DOC0000000024,2025,12,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000183,MAT00117,15573.69,10538.82,UYU,2025-01-24T00:24:00Z
DOC0000000025,2025,1,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000289,MAT00094,25750.58,17556.15,UYU,2025-01-25T00:25:00Z
DOC0000000026,2025,2,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000373,MAT00015,42437.33,31875.15,ARS,2025-01-26T00:26:00Z
DOC0000000027,2025,3,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000402,MAT00061,14358.50,10227.67,ARS,2025-01-27T00:27:00Z
DOC0000000028,2025,4,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000233,MAT00063,28327.34,21238.73,ARS,2025-01-28T00:28:00Z
DOC0000000029,2025,5,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000130,MAT00068,66460.47,57438.00,ARS,2025-01-29T00:29:00Z
DOC0000000030,2025,6,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000413,MAT00078,67476.48,49450.83,ARS,2025-01-30T00:30:00Z
DOC0000000031,2025,7,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000247,MAT00009,51266.20,30525.31,ARS,2025-01-31T00:31:00Z
DOC0000000032,2025,8,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000476,MAT00064,55360.09,48117.56,UYU,2025-02-01T00:32:00Z
DOC0000000033,2025,9,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000240,MAT00104,63134.64,49783.58,UYU,2025-02-02T00:33:00Z
DOC0000000034,2025,10,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000364,MAT00063,72518.72,58482.66,ARS,2025-02-03T00:34:00Z
